Organisation.1,Relationship,Organisation.2
Oxfam Novib,receives transaction funding from,Cordaid
Network For Enterprise Enhancement and Development Support,receives activity funding from,Simavi
APT Action on Poverty,receives transaction funding from,MannionDaniels
CLASP,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Plan International UK,receives transaction funding from,ActionAid UK
People in Need,has budget/direction managed by,DAI Europe
Association of Commonwealth Universities,has budget/direction managed by,Girls’ Education Challenge – Fund Manager PwC
"UK - Foreign, Commonwealth and Development Office",has project implemented by,MannionDaniels
ACTION AGAINST HUNGER SPAIN,has project implemented by,Save the Children International
Institute of Development Studies,has project implemented by,Oxfam America
ZOA,receives activity funding from,Stichting Beheer Subsidiegelden DRA
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,Germany - Ministry for Economic Cooperation and Development
KPMG East Africa,has project implemented by,BBC Media Action
Centre for Humanitarian Dialogue (HD Centre),receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
World Vision UK,provides transaction funding to,The Mailman School of Public Health
Belgian Development Cooperation,provides transaction funding to,Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW
Karuna Mission Social Solidarity - KMSS,has budget/direction managed by,MannionDaniels
UK-Med,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
UN Pooled Funds,receives transaction funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Plan International UK,has project implemented by,BBC Media Action
SPARK,plans to receive transaction funding from,Netherlands - Ministry of Foreign Affairs
International Rescue Committee UK,receives transaction funding from,ODI Sales Limited
ActionAid Bangladesh,receives activity funding from,ActionAid UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Tropenbos International
Practical Action,receives activity funding from,Netherlands Enterprise Agency
MannionDaniels,has project implemented by,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
United Nations Children's Fund (UNICEF),has project implemented by,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Rutgers,has project implemented by,Hivos
MannionDaniels,has project implemented by,International Rescue Committee UK
People in Need,is accountable to,Helvetas Swiss Intercooperation
Belgian Development Cooperation,provides transaction funding to,Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium
ICF Consulting Services Ltd,receives activity funding from,"UK - Department for Business, Energy and Industrial Strategy (BEIS)"
International Planned Parenthood Federation,receives activity funding from,Finland - Ministry for Foreign Affairs
International Network for Advancing Science and Policy,provides transaction funding to,AFELT
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,International Procurement Agency
Pegasys Limited,is accountable to,WWF-UK
British Red Cross,has project implemented by,Netherlands Red Cross
International Trade Centre (ITC),receives activity funding from,Germany - Ministry for Economic Cooperation and Development
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Amref Flying Doctors
Association of Commonwealth Universities,receives transaction funding from,PwC
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,University of Birmingham
CGIAR,receives transaction funding from,Finland - Ministry for Foreign Affairs
International Organization for Migration (IOM),receives transaction funding from,Japan International Cooperation Agency (JICA)
World Vision UK,provides transaction funding to,World Vision Zimbabwe
EMMS International,provides transaction funding to,Palliative Care Association of Malawi
MannionDaniels,provides transaction funding to,Welbodi Partnership
Hivos,provides transaction funding to,Stichting Kinderpostzegels Nederland
People in Need,receives activity funding from,United States
International Rescue Committee UK,receives activity funding from,Danish Refugee Council
Disasters Emergency Committee,provides transaction funding to,Tearfund
Charity Projects Ltd (Comic Relief),provides transaction funding to,Project Harar
ActionAid Bangladesh,receives transaction funding from,ActionAid UK
Oxfam Novib,provides transaction funding to,ZOA
Private Infrastructure Development Group,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
MAG,has project implemented by,Catholic Relief Services
Handicap International UK,has project implemented by,Plan International UK
Cordaid,provides transaction funding to,Dorcas Aid International
Practical Action,receives activity funding from,WYG International B.V.
TechnoServe,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Crown Agents Limited,provides transaction funding to,Food and Agriculture Organization of the United Nations (FAO)
Milieudefensie,receives transaction funding from,Both ENDS
International Organization for Migration (IOM),receives transaction funding from,Germany - Federal Foreign Office
WSP USA Solutions Inc.,has project implemented by,International Organization for Migration (IOM)
Rainforest Action Network,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Mama Cash,provides transaction funding to,Urgent Action Fund-Africa
Tearfund VZW (TFBE),receives transaction funding from,Belgian Development Cooperation
SOS Children's Villages The Netherlands,provides transaction funding to,Dorcas Aid International
Netherlands Red Cross,receives activity funding from,Giro555 (Stichting Samenwerkende Hulporganisaties)
Akvo Foundation,receives activity funding from,IRC
Coffey International Development,provides transaction funding to,Danish Refugee Council
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Samaritan's Purse UK
OCHA Country Based Pooled Funds,receives transaction funding from,Spain - Ministry of Foreign Affairs and Cooperation
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,Viva
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Twaweza
PwC,has project implemented by,CARE International UK
SOS Children's Villages The Netherlands,provides transaction funding to,Cordaid
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Conciliation Resources
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,is accountable to,Louvain Coopération
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Avrankou - Bénin
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,European Investment Bank
United Nations Development Programme (UNDP),receives transaction funding from,Adaptation Fund
United Nations Development Programme (UNDP),receives transaction funding from,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Quinoa,receives activity funding from,Belgian Development Cooperation
Helvetas Swiss Intercooperation,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,PAX
Cross-Government Prosperity Fund,has budget/direction managed by,"UK - Foreign, Commonwealth and Development Office"
Adam Smith International,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Center for Church-Based Development,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
Food and Agriculture Organization of the United Nations (FAO),receives transaction funding from,United Nations Industrial Development Organization (UNIDO)
The International Rescue Committee,provides transaction funding to,International Rescue Committee UK
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,Japan International Cooperation Agency (JICA)
CARE International UK,has project implemented by,MSI Reproductive Choices
"The Global Development Incubator, Inc",provides transaction funding to,IDinsight
The National Association of Municipalities of Benin (ANCB),plans to provide transaction funding to,Commune de Zè - Bénin
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,receives activity funding from,Belgian Development Cooperation
HealthNet TPO,receives transaction funding from,Plan International Netherlands
WASTE advisers on urban environment and development,has project implemented by,Aqua for All
Belgian Development Cooperation,provides transaction funding to,Collectif Stratégies Alimentaires
Caritas International (Belgium),has project implemented by,Caritas Serbia
Disability and Development Partners,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Malaria Consortium,receives activity funding from,Charity Projects Ltd (Comic Relief)
DAI Global Health,has project implemented by,Crown Agents Limited
International Alert,receives transaction funding from,Saferworld
International Development Law Organization (IDLO),receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CABI,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Adam Smith International,has project implemented by,Chemonics International Inc.
International Organization for Migration (IOM),receives activity funding from,Plan International UK
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,Germany - Federal Foreign Office
"UK - Foreign, Commonwealth and Development Office",has project implemented by,SNV Netherlands Development Organisation
DCAF - Geneva Centre for Security Sector Governance,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
MannionDaniels,provides transaction funding to,Save the Children UK
ZOA,provides transaction funding to,World Vision Netherlands
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Stichting Woord en Daad
United Nations Central Emergency Response Fund (CERF),receives activity funding from,"Lithuania, Ministry of Foreign Affairs"
CARE International UK,has project implemented by,Christian Aid
International Crisis Group,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
HelpAge International,receives activity funding from,The Commonwealth Secretariat
Solidaridad Europe,has project implemented by,Near East Foundation (NEF USA)
Development Initiatives Poverty Research,receives transaction funding from,Bill & Melinda Gates Foundation
MannionDaniels,provides transaction funding to,African Initiatives
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,Save the Children DK
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,ACTIONAID INTERNATIONAL KENYA
Cordaid,receives activity funding from,FMO
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,"Lithuania, Ministry of Foreign Affairs"
International Labour Organization (ILO),receives transaction funding from,Japan International Cooperation Agency (JICA)
Echos Communication,receives activity funding from,Belgian Development Cooperation
International Potato Center,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Drugs for Neglected Diseases initiative,receives transaction funding from,United States Agency for International Development (USAID)
ZOA,has project implemented by,VNG International
Family Life Education Program,receives transaction funding from,Simavi
VVOB Education for Development,has project implemented by,Rikolto in Belgium
partos,receives activity funding from,Aqua for All
The National Association of Municipalities of Benin (ANCB),has project implemented by,Commune de Parakou - Bénin
Akvo Foundation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
"UK - Foreign, Commonwealth and Development Office",has project implemented by,BBC Media Action
Concern Worldwide,has project implemented by,Action Against Hunger UK
Stichting Beheer Subsidiegelden DRA,has project implemented by,Stichting Red een Kind
Girls Not Brides: The Global Partnership to End Child Marriage,receives transaction funding from,Canada - Global Affairs Canada | Affaires mondiales Canada
War Child Holland,provides transaction funding to,Save the Children Netherlands
PwC,provides transaction funding to,Westminster Foundation for Democracy
Belgian Development Cooperation,provides transaction funding to,CODEART ASBL
Stichting Vluchteling,receives activity funding from,CARE Nederland
Raleigh International,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Nathan Associates London Ltd.,has project implemented by,Cordaid
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,MapAction
Ecorys Nederland B.V.,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Geneva International Centre for Humanitarian Demining
British Council,provides transaction funding to,The Open University
Simavi,has project implemented by,Voluntary Health Association of India
"UK - Foreign, Commonwealth and Development Office",has project implemented by,UK - Medical Research Council
Belgian Development Cooperation,provides transaction funding to,Solsoc
ZOA,receives activity funding from,Cordaid
Welthungerhilfe,receives activity funding from,IMC WORLDWIDE
Crown Agents Limited,has project implemented by,CUAMM Trustees
Plan International Netherlands,has project implemented by,AWEPA
The Open University,is accountable to,Plan International UK
"Field Ready, USA",receives transaction funding from,Danish Refugee Council
Oxfam Novib,has project implemented by,Oxfam America
Simavi,has project implemented by,Savana Signatures
The Fred Hollows Foundation (UK),has project implemented by,Sightsavers
UN Pooled Funds,provides transaction funding to,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)
Netherlands Red Cross,receives activity funding from,Netherlands Enterprise Agency
MannionDaniels,has project implemented by,MICAIA
United States Agency for International Development (USAID),has project implemented by,IntraHealth International
Action Contre la Faim,receives activity funding from,Action Against Hunger UK
United Nations Children's Fund (UNICEF),has project implemented by,International Organization for Migration (IOM)
United Nations Capital Development Fund,receives activity funding from,Bill & Melinda Gates Foundation
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,has project implemented by,Wereldsolidariteit-Solidarité Mondiale (WSM)
Arab foundation for freedoms and equality,receives activity funding from,CREA
Simavi,provides transaction funding to,Network For Enterprise Enhancement and Development Support
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Maxwell Stamp PLC
Malaria Consortium,provides transaction funding to,InterAction's NGO Aid Map
People in Need,receives activity funding from,Chemonics International Inc.
ECDPM,receives activity funding from,African Center for Economic Transformation (ACET)
World Benchmarking Alliance Foundation,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
openmindedly,provides transaction funding to,Disasters Emergency Committee
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Norwegian People's Aid
"UK - Foreign, Commonwealth and Development Office",has project implemented by,United States Agency for International Development (USAID)
Adam Smith International,has project implemented by,United Nations Office for Project Services (UNOPS)
The International Rescue Committee,has project implemented by,Plan International UK
United Nations Children's Fund (UNICEF),receives activity funding from,Global Partnership for Education
Institute of Development Studies,receives transaction funding from,Liverpool School of Tropical Medicine
Mensen met een Missie,receives transaction funding from,Stichting Red een Kind
Stockholm International Water Institute,receives activity funding from,Netherlands - Ministry of Foreign Affairs
International Labour Organization (ILO),receives activity funding from,United States
Cordaid,receives activity funding from,Save the Children Netherlands
Orbis Charitable Trust,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
CARE International UK,has project implemented by,Adventist Development and Relief Agency (ADRA Somalia)
International Labour Organization (ILO),receives activity funding from,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
ULB-Coopération,is accountable to,Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Save the Children UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Population Service International
RUAF Foundation,receives transaction funding from,Amref Flying Doctors
The Global Alliance for Improved Nutrition,receives activity funding from,Food and Agriculture Organization of the United Nations (FAO)
WSP USA Solutions Inc.,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Belgian Development Cooperation,provides transaction funding to,World Wide Fund for Nature Belgium (WWF-BE)
Center for International Legal Cooperation (CILC),receives activity funding from,Netherlands - Ministry of Foreign Affairs
International Alert,receives transaction funding from,Canada - Global Affairs Canada | Affaires mondiales Canada
Light For The World Belgium,receives transaction funding from,Belgian Development Cooperation
ClientEarth,is accountable to,KPMG LLP
Charity Projects Ltd (Comic Relief),provides transaction funding to,BRAC UK
Stichting Beheer Subsidiegelden DRA,provides transaction funding to,World Vision Netherlands
War Child Holland,receives transaction funding from,World Vision Netherlands
Rikolto in Belgium,provides transaction funding to,Rikolto
Belgian Development Cooperation,provides transaction funding to,Tearfund VZW (TFBE)
inHive,has project implemented by,Link Community Development International
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,International Potato Center
MannionDaniels,provides transaction funding to,MADE in Europe
ZOA,has project implemented by,Save the Children Netherlands
Hivos,receives activity funding from,Article19
Commune de Toviklin - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Netherlands Enterprise Agency,has project implemented by,Advance Consulting
Theatre for a Change UK,receives transaction funding from,PwC
Y Care International,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Plan International Netherlands,provides transaction funding to,ICCO Cooperation
Plan International UK,has project implemented by,WaterAid
UK - Home Office,has project implemented by,International Organization for Migration (IOM)
Le Monde selon les femmes asbl,receives activity funding from,Belgian Development Cooperation
Sana'a Center for Strategic Studies,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
GOAL,has project implemented by,Mercy Corps Europe
United Nations Children's Fund (UNICEF),receives activity funding from,The OPEC Fund for International Development (OFID)
MannionDaniels,has project implemented by,CIFAL Scotland
Save the Children Netherlands,has project implemented by,War Child Holland
Practical Action,receives activity funding from,King's College London
Sightsavers,provides transaction funding to,The Carter Center
Commune de Bopa - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
MannionDaniels,provides transaction funding to,WaterAid
Action Against Hunger UK,receives activity funding from,Action Against Hunger USA
Belgian Development Cooperation,provides transaction funding to,Oxfam-Magasins du monde (omdm)
Canada - Global Affairs Canada | Affaires mondiales Canada,provides transaction funding to,UN-Habitat
Crown Agents Limited,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
World Bank Trust Funds,receives activity funding from,Bill & Melinda Gates Foundation
Adam Smith International,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Sightsavers,provides transaction funding to,Mott MacDonald Limited
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,Netherlands - Ministry of Foreign Affairs
The International Rescue Committee,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Rainforest Foundation UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Atradius Dutch State Business,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Practical Action
Yamaan Foundation for Health and Social Development,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Hivos,provides transaction funding to,ICCO Cooperation
Amref Health Africa in Kenya,receives transaction funding from,Population Services Kenya
Netherlands - Ministry of Foreign Affairs,has project implemented by,Rutgers
Plan International Netherlands,has project implemented by,Cordaid
"UK - Foreign, Commonwealth and Development Office",has project implemented by,ZOA
International Organization for Migration (IOM),receives activity funding from,Food and Agriculture Organization of the United Nations (FAO)
ActionAid UK,has project implemented by,Plan International UK
MannionDaniels,has project implemented by,Y Care International
Danish Refugee Council,has project implemented by,International Rescue Committee UK
Mifumi UK,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Coffey International Development,has project implemented by,Plan International UK
Oxfam Novib,has project implemented by,Oxfam Solidarité-Solidariteit
HelpAge International,receives activity funding from,DanChurchAid
Voluntary Service Overseas (VSO),provides transaction funding to,International Service
HelpAge International,receives activity funding from,Cardno Emerging Markets
Crown Agents Limited,has project implemented by,International Rescue Committee UK
UK - Department of Health and Social Care (DHSC),provides transaction funding to,World Health Organization
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,The World Bank
DCAF - Geneva Centre for Security Sector Governance,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Niger Delta Stakeholders Initiative for Community Development and Empowerment,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
People in Need,receives activity funding from,ActionAid International
International Labour Organization (ILO),receives transaction funding from,OECD
Helvetas Swiss Intercooperation,plans to receive transaction funding from,"UK - Foreign, Commonwealth and Development Office"
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Global Canopy
Sightsavers,provides transaction funding to,ADD International (Action on Disability and Development)
Adam Smith International,provides transaction funding to,Conflict Dynamics International
People in Need,receives activity funding from,United Nations Office for Project Services (UNOPS)
Netherlands Enterprise Agency,has project implemented by,University Twente
Charity Projects Ltd (Comic Relief),provides transaction funding to,Bees for Development Trust
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Publish What You Fund
Index Initiative Foundation,receives transaction funding from,United Nations Foundation
Rutgers,provides transaction funding to,Simavi
Oxfam-Magasins du monde (omdm),receives transaction funding from,Belgian Development Cooperation
Netherlands Red Cross,has project implemented by,British Red Cross
Action Against Hunger UK,has budget/direction managed by,Save the Children International
United Nations Children's Fund (UNICEF),receives activity funding from,United Nations World Food Programme (WFP)
International Organization for Migration (IOM),receives transaction funding from,International Labour Organization (ILO)
UN Pooled Funds,has project implemented by,United Nations Capital Development Fund
Abt Britain Limited,receives transaction funding from,Malaria Consortium
Save the Children Netherlands,has project implemented by,Simavi
Aidsfonds - Soa Aids Nederland,receives activity funding from,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS)
Studio Globo,has project implemented by,Broederlijk Delen
BRAC,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Cordaid,receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Concern Worldwide UK,receives activity funding from,Norwegian Refugee Council
Sightsavers,receives activity funding from,The World Bank
Netherlands - Ministry of Foreign Affairs,has project implemented by,TEAR fund Nederland
The Open University,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Disasters Emergency Committee,has project implemented by,CARE International UK
United Nations Children's Fund (UNICEF),receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Netherlands Enterprise Agency,has project implemented by,World Waternet
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Doctors of the World UK
Dorcas Aid International,receives transaction funding from,Save the Children Netherlands
United Nations Children's Fund (UNICEF),receives activity funding from,UK - Home Office
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,has project implemented by,Médecins Sans Vacances
Netherlands Space Office,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
People in Need,receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Motivation,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Food and Agriculture Organization of the United Nations (FAO),receives activity funding from,International Fund for Agricultural Development (IFAD)
openmindedly,provides transaction funding to,Christian Blind Mission (UK) Ltd.
UN Pooled Funds,receives activity funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
NLR,receives activity funding from,Netherlands - Ministry of Foreign Affairs
War Child Holland,has project implemented by,War Child UK
Oxfam Novib,receives activity funding from,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
International Rescue Committee UK,receives transaction funding from,Danish Refugee Council
Education Development Trust,has budget/direction managed by,PwC
War Child UK,receives activity funding from,OCHA Country Based Pooled Funds
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Send a Cow,provides transaction funding to,Send a Cow Ethiopia
World Vision UK,receives activity funding from,Danish Refugee Council
International Planned Parenthood Federation,receives transaction funding from,Norad - Norwegian Agency for Development Cooperation
Switzerland - Swiss Agency for Development and Cooperation (SDC),has project implemented by,CGIAR
Oxfam Novib,provides transaction funding to,SOS Children's Villages The Netherlands
Sightsavers,receives activity funding from,Bill & Melinda Gates Foundation
World Vegetable Center,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Aidsfonds - Soa Aids Nederland,receives transaction funding from,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS)
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,"Gavi, the vaccine alliance"
World Bank Trust Funds,receives activity funding from,"Denmark - Ministry of Foreign Affairs, Danida"
IRC,receives transaction funding from,Simavi
Voluntary Service Overseas (VSO),receives transaction funding from,Save the Children International
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,Climate Policy Initiative
Akvo Foundation,receives transaction funding from,IRC
War Child Holland,provides transaction funding to,Norwegian Refugee Council
Charity Projects Ltd (Comic Relief),provides transaction funding to,Leonard Cheshire Disability
Education Development Trust,provides transaction funding to,Concern Worldwide
Traidcraft Exchange,receives transaction funding from,MannionDaniels
Practical Action,receives activity funding from,Charity Projects Ltd (Comic Relief)
UN Pooled Funds,is accountable to,Food and Agriculture Organization of the United Nations (FAO)
UN Pooled Funds,receives transaction funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
"UK - Foreign, Commonwealth and Development Office",has project implemented by,WaterAid
Orbis Ethiopia,receives transaction funding from,Orbis International
MAG,provides transaction funding to,Norwegian People's Aid
Dorcas Aid International,has project implemented by,Save the Children Netherlands
Crown Agents Limited,provides transaction funding to,Save the Children UK
International Organization for Migration (IOM),receives activity funding from,European Commission - Neighbourhood and Enlargement Negotiations
Netherlands Institute for Multiparty Democracy (NIMD),receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Coffey International Development,provides transaction funding to,GOGLA - Global Off-Grid Lighting Association
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Development Initiatives Poverty Research
Education Development Trust,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
MVO Nederland,has project implemented by,Netherlands - Ministry of Foreign Affairs
InterAction's NGO Aid Map,provides transaction funding to,Catholic Relief Services
Autre Terre asbl,receives activity funding from,Belgian Development Cooperation
United Nations Children's Fund (UNICEF),has project implemented by,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
Adam Smith International,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Tearfund,receives transaction funding from,MannionDaniels
UK - Department of Health and Social Care (DHSC),has project implemented by,University College London
openmindedly,provides transaction funding to,Pragya India
Disabled People's Organisations Denmark,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
International Organization for Migration (IOM),receives activity funding from,United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions)
KIYO,has project implemented by,Solidagro
BRAC International,receives transaction funding from,PwC
Netherlands - Ministry of Foreign Affairs,has project implemented by,IRC
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,United Nations Environment Programme (UNEP)
MSI Reproductive Choices,provides transaction funding to,Reach A Hand Uganda
IRC,has project implemented by,Simavi
WASTE advisers on urban environment and development,receives activity funding from,Amref Flying Doctors
UK - Home Office,has project implemented by,Anti-Slavery International
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Mercy Corps Europe
TEAR fund Nederland,receives activity funding from,CARE Nederland
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,receives transaction funding from,Belgian Development Cooperation
MannionDaniels,provides transaction funding to,PHASE Worldwide
Dorcas Aid International,has project implemented by,Stichting Red een Kind
Internews Europe,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
The University of Manchester,receives transaction funding from,The Open University
JoWomenomics,receives activity funding from,Netherlands - Ministry of Foreign Affairs
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,International Labour Organization (ILO)
International Centre of Insect Physiology and Ecology (icipe),receives activity funding from,CABI
Malaria Consortium,receives transaction funding from,Charity Projects Ltd (Comic Relief)
Netherlands Water Partnership,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,has project implemented by,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Save the Children Netherlands,provides transaction funding to,CARE Nederland
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,HelpAge International
Restless Development,receives transaction funding from,Save the Children UK
Netherlands - Ministry of Foreign Affairs,has project implemented by,United Nations Development Programme (UNDP)
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Bond
Welbodi Partnership,has budget/direction managed by,MannionDaniels
Development Initiatives Poverty Research,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
United Nations Capital Development Fund,receives activity funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
United Nations Central Emergency Response Fund (CERF),receives transaction funding from,"Lithuania, Ministry of Foreign Affairs"
Feed the Minds,receives activity funding from,MannionDaniels
Opportunity International UK,receives transaction funding from,MannionDaniels
HelpAge International,receives activity funding from,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
Amref Health Africa in Uganda,receives transaction funding from,Amref Flying Doctors
War Child Holland,provides transaction funding to,Royal Netherlands Football Association
World Child Cancer UK,receives transaction funding from,Tropical Health and Education Trust
CGIAR,receives activity funding from,The University of Manchester
openmindedly,provides transaction funding to,Send a Cow
United Nations Development Programme (UNDP),receives activity funding from,Ireland - Department of Foreign Affairs and Trade
"UK - Foreign, Commonwealth and Development Office",has project implemented by,ICF Consulting Services Ltd
International Fertilizer Development Center,has project implemented by,SNV Netherlands Development Organisation
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Royal Tropical Institute
British Council,provides transaction funding to,DAI Global Health
Practical Action,receives transaction funding from,WASTE advisers on urban environment and development
Echos Communication,receives transaction funding from,Belgian Development Cooperation
Ethiopian Public Health Association,receives activity funding from,Guttmacher Institute
ICF Consulting Services Ltd,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
IMC WORLDWIDE,has project implemented by,Crown Agents Limited
Oxfam Novib,provides transaction funding to,Oxfam Intermón
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Dorcas Aid International
"UK - Foreign, Commonwealth and Development Office",has project implemented by,International NGO Safety Orgnisation
Guttmacher Institute,has project implemented by,Fundación Oriéntame
Center for Church-Based Development,provides transaction funding to,Danmission
Cordaid,receives activity funding from,Norwegian Refugee Council
WYG International B.V.,has project implemented by,"Natural Resources Institute, University of Greenwich."
MannionDaniels,provides transaction funding to,Motivation
UNITAID,has project implemented by,PATH
Oxfam Novib,receives activity funding from,CARE Nederland
